userName,Review
Ummu Gendis Food,tokopedia kenapa sekarang cair dana seller lama sekali sampai kamu kenapa tokopedia makin kesini kok kamu makin tidak asik sih tokopedia
Alyatul Mardiah,tidak expect nyata tokopedia bagus ituuu kirim cepet bangettttt
langgeng widodo,kocak cs lu status pesan tiba di tempat tuju padahal belum nyampe kocak saya komplain tolak history kurir dari depok - serpong logika dipake kocak
Dede Kurnia,sayang sekali mitra tokopedia sudah tutup
Serli Olivia,gtau sering kecewa saja klau beli di tokopedia sering tiba di batal gtau alesanya pdahal barang udah di kirim
Cucum ainun,senang
Aisyahuswatun,bagus banget jdi belanja lebih cepet percaya
Sudarmi Sudarmi,tadi pagi klim foucer diskon eh pas mau cekout tadi sore udah gak bisa kepake padahal laku sampe malam
Denni Firansyah,kenapa suka lag dan ngebug iya waktu pilih bayar loading terus
Arvind Affrilliyandi,oke mantap cuman cara komplain barang rusak kurang dukung bagi beli olah bela jual banyak barang yg tidak original
Riza Gobed,mantabssss
Nafhan Faeyza,mantap banyakin lagi diskon dong
Fitriah Almira,sesuai order
Nelsa Singgi,wow banyak diskon
anton Budi,saya kurang bintang soal sudah kali saya komplain pesan selalu gagal uang hilang barang tidak sesuai cuman gara-gara upload video unboxing gagal tapi bukan akibat jaring kalau soal ukur video maks mb video yang saya kirim kisar mb saya chat jual tidak ada pilih upload video hanya ada upload foto sedang jual ngotot kurang bukti video unboxing terus terang baru kali ini saya kecewa oleh tokopedia
Antonius Suryanta,mudah dan aman belanja lalu tokopedia
Seno Aji,layan jual dan aplikator cukup bagus serta bisa percaya
Ismail 1234,aplikasi buruk
Ipinksax Bali,good service quick
asep Sobirin,banyak toko langgan blokir kenapa gak tau jadi pindah olshop
Bahasa Depok,baru mau coba moga guna bagi saya
Aro Korong,bagus
Indah Sari,bagu dan cepat
Ruslan Ependi,kirim selalu tepat waktu dan harga sangat jangkau tengah bawah
Sugi Anto,tolong kirim lambat lebih cepat di toko sho padahal sama reguler
A Abdurrozak,oke
Felix,keren
Windhu Wardhana,appsnya bagus mudah paham
HERIBERTUS GAME,belanja puastapi saran sedikitkalau bisa ongkirnya di rangin
Khaeril,mantap
Ferywidiyanto Widi,kalau aku sih yeees
Nana Sumarna,mantap
Rani Halundaka,keren
djoko bikers,best olshoop
HERU PURNOMO,oke
Abu Nawas,beli liquid susah
HABIBUN IRWAN,mantap
Sutanto,good job
Fitra Fitra,moga usaha lancar
Dewi Indriana,ui sederhana dan tidak berat
April Lia,dapat diskon gede
Aqmar Adinata,bagus dan percaya
Sambudi Prayitno,proses cepat
Ichenq Blaho,entah kenapa akun saya kek ngefreeze tidak bisa belanja barangtoko banyak invalid
Irna W,eitts mau belanja tapi takut boros tenangg cuman di tokopedia guncang jawab di tanggal - juni kamu diin dapet promonya gebyar flash sale sd diin diskon sd gratis ongkir rp kali yuk update aplikasi tokopedia kamu untuk dapat alam seluruh
Nanda Steepsgrils,juga mudah kita untuk belanja line dan barang nya mutu dan kualitas bagus dan banyak k discount jadi para ibu ibu suka beli barang yg diinginkankarena bagus dan nyaman pakai
Supitriyadi Supitriyadi,aplikasi ini sangat bantu mudah untuk guna super keren
Radil 0612,aplikasi yg mantap
noer hilman,belanja lebih mudah dan lebih murah kalo bisa tambahin lagi promo nya
Siti Patonah,mantappp
Ahmad Alhamdi89,maaf untuk sementara kasih bintang sebab kurang nyaman kenapa kok alamat kirim bisa ubah dengan sendiri padahal gak di rubah kirim pun jadi gagal karna alamat ubah tolong dipeaiki
Deny Advokat,selalu di tokped
Fiki Saiful,good
ibnu 1234,cari lalu photo di buat juga dong
A,good
nur holik,mantap
Lutfia anjarini,gratis ongkir sama cashback tidak bisa gabung
Nanang Haryono,toko dia bagus moga depan banyak diskon ongkirnya dipeanyak agar langgan bisa belanja sini
Dandelion Nadia,tidak ada masalah dengan aplikasi nya yng masalah kurir ny sombong sangat tidak ramah kirim lama terus tidak mau balik lagi kirim ny besok lagi
Pasko Paseo,apa tokped upload ulas lama banget dipake upload yg lain aman aman saja
Pengadilan Lubis,gak sukak iklan nya
kim paidjoe,tambah lemoooootbuka halaman beratttt payahhhh
Rafi Ahmad,barang kurang lengkap udah itu barang yang di toko online lain murah tapi sini mahal
Minecraft FaDan,lebih ringan dari shoppe
Mochmasum Sum,bagus
yuli yani,bagus servis
Hitler Adiotua Nababan,admin kasih promo yg masuk akal napa masa ada yg atas harga retail awalgw dah kasih rating bagus nohh
Jumbo Jet,mantaaaapppp
heru erlangga,mantap
Dita Yaniar,minta update terus kak
agil ariwiyanto,kurir emang harus di review kadang yang buat gak nyaman mang kurirny brang lama ngantrnya
Jhoni eneste,mantap betul
Dhauz Tuffkid,aplikasi kurang stabil padahal saya ram
Umi Sumiyati,bagus
Agung Bepe,good
Beni Susanto,buat jual pulsatoken listrikkuotalumayan lah
Rafael Abhipraya,mantap
Susi Lawati,ribet banget
Opetz Opetz,tolong kasih pilih kirim nanti di tambah bintang
Harya Di,bayar yang praktis
Arrazy Elangz,peaiki itu kamu upload video bukti rusa udaahh bawah masih ada tulis maaf ada ganggu teknis coba lagi iya gimana cara ku claim
Boy Sibarani,good
Cok Agus,ada salah dalam transaksi di go pay later gagal bayar hingga limit kurang banyak dalam kurun waktu kurang dari dana sudah kembali ke limit benar nya
Nyai Oliz,mantap
tri imam wahyudi,sayang sekali kalo akun dh tidak aktif nomer tidak bisa dipake lagi
bayu segara,tokopedia sekira bisa terap ambil tempat paket karena tidak selalu ada dirumahbiar kurir gak bolak balik misal paket bisa di ambil di jnt dekat atau bisa di ambil di expedisi dekat
Supri Adi,bagus aplikasi belanja di tokopedia ini banyakin cod nya biar transaksi gampang kalau tidak punya uang electronik
Shop91dimronseller Seller,baru coba
dimas adiarto,kenapa produk habis masih di tampil
eriq hidayat,baik cepat mudah
Alona Brian,toko dia luar biasa mantulbelanja nyaman harga pas di kantong
ferry mardian,nice good jobs
eri Saputra,good
Theo Sudarja,tiap kembali ke halaman belum musti muat ulang halaman versi dulu tidak gitu deh versi ios masih betul saat pencet kembali ke halaman belum langsung tampil di barang hasil cari akhir tanpa muat ulang jaman dulu barang di keranjang jika lebih otomatis masuk wishlist sekarang tidak ada fiturnya wishlist jumlah maksimal buat hapus otomatis saja dari yang lama tidak perlu klik minta hapus
Zulkifli Ismed,baik order yg tidak kirim x harus batal otomatis saya punya alam order saya baru kirim itu pun telah saya komplain dan rencana batal order atau kalau lewat x belum kirim mohon batal gak perlu tuju seller mohon konsumen juga perhati
Putri eka febrianti,ko tidak bisa aktivasi ke ovo iya tolong bantu dong
Miftakhudin Arya,best market
Kamdani,mantap tokopedia kuota banyak promonya
Alupoi,gratis ongkir sih batas tapi jangan hapus juga
Cintya Amelia,sangat bagus diskon nya banyak
harie buledd,baik
achmad akbar,menu nilai kurang gak ada salah samping inovasi ambil lebih online shop yg lain buang yg buruk
Tommy Trimari Lumbantoruan,hadianya di realisasi
Fazlur Rahman Fadilah,yea yea yea
Agus Hendra,pokok tokopedia mantap
Dee Bonita,service nya bagus belanja batal jual uang kembali ke saldo jadi aman dan nyaman
Sukarman Jafar,diksih bintang dulu baru pertama uji coba moga amanah percaya
Ikhsan Fadilah,cabut dulu beli di tokped karena lelet banget gambar hasil cari pecah cari tidak temu tolong dipeaiki admin terima kasih
Sinyo Humbolt,update melulu updatenya selalu minta hapus aplikasi lain dgn alas memori tidak cukup padahal di hpku tinggal ada aplikasi ringan tidak bisa apa bikin update-an yg tidak minta nambah memori lama saya buang juga nih tokped
FAdli RaM,bagus
MS STORE BEKASI,good
Zuhdi Amin,yuk beenah lagi di kirim khusus ekpedisi idx paket tidak kirim padahal udah di kota tuju
Aan aditya Jayamurti,baik
Fardan Antoni,good dan nice gue langgan di apk ini dan tidak pernah minus barang sama sekali tapi gue kasih rating karena banyak iklan ni apk muncul
alpiaaj,bagus banget belanja di tokopedia banyak diskon dan voucher gratis ongkir
nay La,banyak diskon suukaa bangeett bantu banget aplikasi tokopedia ini sukaa
Andre Seno,top dah poko
Alif Satria Y,kembali ui ke yang dulu ui sekarang terlalu padat banyak teks dan tampil harga juga tidak sesuai jadi bingung
MUHAMMAD TOMMY RUDI A Tommy,mantap dan batu semua orang sukses selalu
Asfara 02,bagus murah banyak diskon nya tapi lebih baik lagi kalau ada data nama dan nomer hp kurir
Lare Nggunung,mudah untuk belanja online semua butuh se-
wahyu widi,nice bro
Misbah Tea,luar biasa sangat bantu
Taufik Hidayat,oke dan mantab
Anjar Witi,harga murah bnyk diskony trmksih bnyk tokped
Saiful Anam,luar biasa cepat proses nya
Shinta Purnama,bagus lebih di tingkatin promonya
Jaenal Arifin Arifin,mantap tokpad
Jejen Jaenudin,moga bagus
Nana Ia,icon aplikasi nya hampir sama kek icon aplikasi ajar bahasa asing sering di isengin juga admin nya di aplikasi item putih haha tapi kalo soal kirim ini aplikasi best deh
Nur Ipan,tokopedia banyak promo dan juga gratis ongkir
chefeteng bawolesandala,mantap
Avie Anasiyya,bagus tapi kok waktu udah beli tidak ada notif di pilih barang kemas atau lagi di kirim
ridwan,mohon maaf untuk seller nya tolong di peaikibanyak yg lama respon dan terkadang produk yang di pesan tidak sesuai pesanantolong di tingkat lagi puas beli jgn pelihara seller yg lama proses nya
Theodorus Westreenen,make easy gaess
lutfi mebel,kok di hp saya gak ada bayar dana iya padahal mau belanja lewat dana
Rezky Rasendria,untuk depan lebih murah lagi oke
ADI Smjtk,bagus utk jual online
Sumi Ati,gooood
Gaga Prakaa,bagus
Lana Fatih,banyak promo
Widi Winantono (Recho),belum coba sudah lama tidak transaksi next time pasti terima kasih toped
fai syifai,lumayan tambah bintang lagi naik performa basmi semua bug masih banyak pop bikin agak lelet
zidan oikiji,kalau pake bonus kok malah harga jadi lbh tinggi dari harga awal iya apa ni cuman marketing doang pa gimana
Vheryda Morgan,ongkirnya sekarang lebih murahke kuta barat saja ada ongkir jadi lebih suka belanja di toko pediawalaupun gak ada yang cod v tetap aman
Wahyu Saputro,sangat bantu
Febri Ansa,oke lh
Harry A.,kenapa pilih aju batal tidak ada pilih stok kosong pada seller
Nendi Susendi,sangat mudah untuk dapat produk di tokopediasangat bantu sekali untuk belanja online
Ahmad Ahmad,oke bgus
Junaidi,aku coba dulu pakai tokopedia siapa tau cocok
Raisa Aja,makin lelet
Oppo A3s,mantap
rofiatun mufida,lama kok bikin berat aplikasi
Rudy Setiawan,bagus sering dapat diskon murah sekali cuman kadang loading lama banget kalau mau checkout
Ismail 888,mantap
Haki Akunnew,bagai seller untuk jual produk digital sangat susah biaya ongkir sangat mahal tdak bisa free
Zaid Khairu Syabaab,wasap bangeet
Effendi Fendi,saya mau belanja alat mobel dg mingirim contoh barang
Ahmad afandi,keren aplikasi nya
Lukih Larocha,akun toko saya kenapa jadi hilang kemarin masih ada sekarang harus sambung ke tokopedia seller tiktok harus buat akun dan toko baru lagi repot dan bikin bingung jual
A NS,disko bener gila tokped mantap betul deh poko
Asep Saefurrahman,mantaap
A.A.I Diva Shely Aulia,aplikasi mudah guna
William D (Xylpharion),tolong kembali lagi status online yg biasa lihat di chat room bikin susah karena guna jadi tidak bisa lihat apakah seller sedang online atau tidak sistem yg lalu masih ada malah hilang mulai ini sangat sayang
Yansky 92,mantap
nddcom cbt,bantu
adiharyanto harahap,semngat
Li Xiń,apk mantap loginnya mudah tidak seperti apk belah login susah patah kirim lama
Rosa Gayatri,bagus
indra waluya,ribet cara ganti alamat terima
Nining Rosdiana,kereen amanah
Alea suryana,good
Nendro Priatmodo,dapat beli saldo e-toll
Marie Pandjaitan,kualitas b arang yg jual sesuai harga
Andrian Syah,jika ada transaksi yg atas nama andriansyah nasution itu bukan saya saya tidak pernah sekalipun laku transaksi sini bahkan akun saja tidak pernah saya daftar terima kasih
Ady Munte,memuaskannn
Ridwan Refiadi “Ridwan Refiadi” Wikarta Dinata,toped top pis euy --
UMS HERBAL INDONESIA,jangan sering update dong bikin marah tiap mau buka aplikasi update mulu
Siti Sukaesih,layan dan respon oke mantap
Dedi Hay,lagi di coba dulu
Wahyu Saputra,bagus
Hamda Sakhiyah,saya belanja sini selalu dapat harga murah
Sutrisno Trisno,aplikasi bagus banget bosqu
Melissa Djohar,sering hitam sendiri layar shake nya keluar terus ada notifikasi shake terus jadi ganggu banget kalo lagi cari barang tolong dipeaiki iya
B J,moga tidak seperti toko ore barang sudah sampai hub akhir malah gak antar dan kembali ke penjl moga sini beelanja aman nyaman dan senang
Wandi Bengkel,puas pake tokopedia
Azzam Octaviansyah putra,sangat baikk
